"","RNA.0","RNA.1","RNA.2","RNA.3","RNA.4","RNA.5"
"ENSG00000173473",0.106551846499726,0.0854865349272873,0.0962483652795319,0.0969257383566243,0.123489919820864,0.164303856248989
"ENSG00000132153",0.141388252699063,0.0680053605938075,0.0804367710728751,0.12254831591668,0.161246072637246,0.158701278126543
"ENSG00000047849",0.157628519544706,0.0916049418821525,0.0752254922913142,0.237426800512359,0.0913526100027518,0.160664258993159
"ENSG00000164045",0.00105838928090945,0.000477039574037521,0.000825369224341529,0.00421134324121938,0.0341593984203917,0.0360539164694469
"ENSG00000164047",0,0.000476868658010732,0.00415819581068757,0.00270709168051731,0,0
"ENSG00000164048",0.00323551515971892,0.00474687571120838,0.0157379796096522,0.0154096773332014,0.0127933574937044,0.0051498905380084
"ENSG00000172113",0.0217786189357712,0.0372588915163084,0.0273407954761619,0.0377730257031301,0.0700829630108415,0.0973394976331017
"ENSG00000229453",0,0,0,0,0,0
"ENSG00000164049",0,0,0,0,0,0
"ENSG00000164050",0.166925264649,0.00616772077096396,0.0067107377833877,0.0364736230525676,0.0113255675356327,0.00534119554751717
"ENSG00000164051",0.0348971794087007,0.0168714130548623,0.0116273777143205,0.0288088039294982,0.0706807166407605,0.0815753421174924
"ENSG00000232112",3.0275348171893,2.23762235684588,1.8515201850991,2.53030685529314,4.00262681987899,4.09856825766248
"ENSG00000244380",0,0,0,0,0,0
"ENSG00000164053",0.000522487823393188,0.00332098389450105,0.00252798233003253,0,0.00190279145000202,0
"ENSG00000213689",0,0,0,0,0,0
"ENSG00000164054",0.236469864456331,0.193788597557899,0.162575865054717,0.263344879714945,0.213188202529673,0.315825234710343
"ENSG00000114268",0.00139615401880646,0.000948253171130048,0.0231353492291846,0.00527860837735129,0,0
"ENSG00000145040",0,0,0,0,0,0
"ENSG00000114270",0.00163275634204127,0,0.000811117229363454,0.000887780743406146,0.00186761987965648,0
"ENSG00000010256",0.538699085187194,0.130662463556119,0.339831374004217,0.257920501820243,0.586080615141948,0.46573335428339
"ENSG00000183396",0.000248386015662772,0,0,0,0,0
"ENSG00000225697",0.015058179500093,0.00564849097536359,0.014885104851876,0.0130211174548911,0.0310610847004177,0.00990322558117301
"ENSG00000008300",0.00136375359094875,0.000946656595985564,0,0.000901613886503845,0.00189098127209031,0.00514184565732745
"ENSG00000228350",0.000255938186111014,0,0,0,0,0
"ENSG00000271973",0,0,0,0,0,0
"ENSG00000213672",0.0172826540891698,0.00517927976452936,0.0199059661185972,0.0839382173402928,0.0261450888685041,0.0050392054696205
"ENSG00000068745",0.0693125874721404,0.110510280471744,0.0477343860996595,0.148898203640532,0.0711078683325934,0.118614152026945
"ENSG00000114302",0.339920822046255,0.0859384214839864,0.148602218041557,0.241152156332226,0.0995163471153243,0.0985669390390827
"ENSG00000224424",0.000544209627166061,0.00190338576976261,0.00253662523041026,0.00269647697648966,0,0
"ENSG00000178537",0.178684983776171,0.0382528486153845,0.0372547310828248,0.033575752301209,0.0200109653359142,0.0564931655396845
"ENSG00000221883",0.00458580618315557,0.0430193749561676,0.0198472562259571,0.0286146325877915,0.0357669021195727,0.0207266373325947
"ENSG00000177479",0.123973442805609,0.111816121227534,0.0942893752927488,0.133242724756433,0.179707601704727,0.252501853181603
"ENSG00000235236",0,0.000950588675691488,0.000851560075218248,0.000906140542535861,0.00153574628772191,0.00514434313546705
"ENSG00000223343",0,0.00188770787060232,0,0,0,0.0048399133433705
"ENSG00000273211",0,0.000936946207588292,0,0.000902378316458717,0,0
"ENSG00000178467",0.0240094561196688,0.043995200933933,0.0165294729930676,0.0813929813615457,0.0682310438927464,0.0720274768768041
"ENSG00000178252",0.119081451432835,0.0457580944073769,0.0547825494376771,0.117438134802504,0.0835353116428353,0.0776320870226672
"ENSG00000178149",0.0163015996414745,0.0594321865185781,0.0388397403021321,0.0691618527028574,0.0490020831741499,0.102686558492069
"ENSG00000178057",0.425339337430668,0.184883090343143,0.32539045040602,0.461966744603791,0.66788770670704,0.755386436324148
"ENSG00000178035",0.0711272226092224,0.104176712536526,0.157433381357037,0.228721626561941,0.339567945007893,0.545210876311041
"ENSG00000272434",0.00108473549679965,0.0028443713225343,0.00076300480454362,0.0025648071943062,0,0.00538268813034803
"ENSG00000198218",0.0588227093865981,0.0570189844605462,0.071106486516949,0.0758057648228055,0.0956533923332486,0.164569977406299
"ENSG00000172053",0.140185283681094,0.197542432667611,0.34513541971551,0.231907662391811,0.343181286381241,0.550351381522667
"ENSG00000172046",0.0383343344958543,0.0183436031480936,0.0230545771803496,0.0327726285148363,0.0220260198522375,0.0622198701000416
"ENSG00000172037",0.145401659444111,0.00520967784729259,0.0233600309260641,0.346138593060278,0.00186374806423608,0
"ENSG00000177352",0.0273289864295619,0.0189487532298788,0.0165165509742445,0.0529190531523027,0.0302722079468447,0.0455223837291403
"ENSG00000185909",0.0222492436271306,0.00475329807960502,0.0320098676183681,0.130419359378767,0.00182639115647647,0.0206501014531318
"ENSG00000236980",0,0,0,0,0,0
"ENSG00000173421",0.000271788865844721,0,0,0.00526172027014113,0,0
"ENSG00000225399",0,0,0,0.00702724204508241,0.00180614081956535,0
